시설물명,시설물구분,시설물종류,준공일,종별,위치,차기점검진단일,등급,최종점검진단일
1호선 095 다대포해수욕장 역사,건축물,철도역시설,20161231,2종,부산광역시 사하구 다대로,20201231,양호,20170704
1호선 097 낫개 역사,건축물,철도역시설,20161231,2종,부산광역시 사하구 다대로,20201231,양호,20170706
신경주역사,건축물,철도역시설,20101231,1종,경상북도 경주시 신경주역로,20200905,B등급,20170905
인천2호선 역사 2222 석천사거리,건축물,철도역시설,20161031,2종,인천광역시 남동구 석산로,20201031,양호,20170430
인천2호선 역사 2210 서구청,건축물,철도역시설,20161031,2종,인천광역시 서구 심곡동,20201031,양호,20170430
인천2호선 역사 2204 마전,건축물,철도역시설,20161031,2종,인천광역시 서구 마전동,20201031,양호,20170430
인천2호선 역사 2208 검바위,건축물,철도역시설,20161031,2종,인천광역시 서구 검암동,20201031,양호,20170519
인천2호선 역사 2203 검단사거리,건축물,철도역시설,20161031,2종,인천광역시 서구 마전동,20201031,양호,20170430
인천2호선 역사 2207 검암,건축물,철도역시설,20161031,2종,인천광역시 서구 검암동,20201031,양호,20170519
인천2호선 역사 2205 완정,건축물,철도역시설,20161031,2종,인천광역시 서구 당하동,20201031,양호,20170430
인천2호선 역사 2206 독정,건축물,철도역시설,20161031,2종,인천광역시 서구 백석동,20201031,양호,20170430
벡스코정거장,건축물,철도역시설,20161031,2종,부산광역시 해운대구 우2동,20201031,양호,20170317
대구지하철 1-068(설화명곡)역사,건축물,철도역시설,20160630,2종,대구광역시 달성군 화원읍 비슬로,20200630,양호,20170915
도봉산역사,건축물,철도역시설,20160715,2종,서울특별시 도봉구 도봉동,20200715,양호,20170518
재송정거장,건축물,철도역시설,20161031,2종,부산광역시 해운대구 재송동,20201031,양호,20170317
대구지하철 1-066(화원)역사,건축물,철도역시설,20160630,2종,대구광역시 달성군 화원읍 비슬로,20200630,양호,20170915
인천2호선 역사 2211 가정,건축물,철도역시설,20161031,2종,인천광역시 서구 가정동,20201031,양호,20170430
인천2호선 역사 2227 운연,건축물,철도역시설,20161031,2종,인천광역시 남동구 운연동,20201031,양호,20170430
인천2호선 역사 2215 인천가좌,건축물,철도역시설,20161031,2종,인천광역시 서구 가좌동,20201031,양호,20170430
인천2호선 역사 2216 가재울,건축물,철도역시설,20161031,2종,인천광역시 서구 가좌동,20201031,양호,20170430
인천2호선 역사 2202 왕길,건축물,철도역시설,20161031,2종,인천광역시 서구 검단로,20201031,양호,20170519
인천2호선 역사 2213 석남,건축물,철도역시설,20161031,2종,인천광역시 서구 거북로,20201031,양호,20170430
인천2호선 역사 2226 인천대공원,건축물,철도역시설,20161031,2종,인천광역시 남동구 만수동,20201031,양호,20170519
인천2호선 역사 2217 주안국가산단,건축물,철도역시설,20161031,2종,인천광역시 서구 가좌동,20201031,양호,20170430
인천2호선 역사 2214 서부여성회관,건축물,철도역시설,20161031,2종,인천광역시 서구 거북로,20201031,양호,20170430
인천2호선 역사 2209 아시아드경기장,건축물,철도역시설,20161031,2종,인천광역시 서구 심곡동,20201031,양호,20170430
인천2호선 역사 2212 가정중앙시장,건축물,철도역시설,20161031,2종,인천광역시 서구 가정동,20201031,양호,20170430
인천2호선 역사 2218 주안,건축물,철도역시설,20161031,2종,인천광역시 남구 주안동,20201031,양호,20170430
인천2호선 역사 2224 만수,건축물,철도역시설,20161031,2종,인천광역시 남동구 만수동,20201031,양호,20170430
인천2호선 역사 2221 인천시청,건축물,철도역시설,20161031,2종,인천광역시 남동구 석산로,20201031,양호,20170430
인천2호선 역사 2201 검단오류,건축물,철도역시설,20161031,2종,인천광역시 서구 검단로,20201031,양호,20170519
인천2호선 역사 2223 모래내시장,건축물,철도역시설,20161031,2종,인천광역시 남동구 구월동,20201031,양호,20170430
인천2호선 역사 2220 석바위시장,건축물,철도역시설,20161031,2종,인천광역시 남구 경인로176번길,20201031,양호,20170430
인천2호선 역사 2219 시민공원,건축물,철도역시설,20161031,2종,인천광역시 남구 경인로176번길,20201031,양호,20170430
인천2호선 역사 2225 남동구청,건축물,철도역시설,20161031,2종,인천광역시 남동구 만수동,20201031,양호,20170430
구일역 서측 출입구,건축물,철도역시설,20160603,2종,서울특별시 구로구 구로동,20200603,양호,20170531
야당역사,건축물,철도역시설,20160131,2종,경기도 파주시 야당동,20200131,양호,20170630
익산역사,건축물,철도역시설,20160331,2종,전라북도 익산시 익산대로,20200331,양호,20170327
도곡역사,건축물,철도역시설,20030903,2종,서울특별시 강남구 도곡동,20181230,A등급,20141230
7호선 (7197) 까치울역사,건축물,철도역시설,20121231,2종,경기도 부천시 원미구 길주로,20171126,B등급,20141126
7호선 (7211) 굴포천역사,건축물,철도역시설,20121231,2종,인천광역시 부평구 길주로,20171126,B등급,20141126
상갈역사,건축물,철도역시설,20121221,2종,경기도 용인시 기흥구 상갈동,20191205,B등급,20161205
강매역사,건축물,철도역시설,20150122,2종,경기도 고양시 덕양구 행신동,20190122,양호,20170630
